Named Entity,bin 1,bin 2,bin 3,bin 4,bin 5,bin 6,bin 7,bin 8,bin 9,bin 10 ,bin 11
miguel n frank,0,0,0,0,0,1,0,0,0,0,0
nyc,1,0,0,3,2,0,1,1,0,1,2
tanner,0,0,0,0,2,0,0,0,0,0,0
scott,1,0,0,1,1,2,1,0,0,1,1
taihron,0,0,0,1,0,0,0,0,0,0,0
bruce,1,0,7,1,0,1,0,1,0,0,1
chris brown & rihanna snuggle,0,0,0,0,1,0,0,0,0,0,0
delta,0,0,0,0,0,0,0,0,0,1,2
yeaa burke,0,0,0,0,0,0,0,0,0,1,0
riff raff,0,0,3,1,3,2,0,0,0,0,1
bill doss,0,0,0,0,0,0,0,0,0,1,0
taytay swift,0,0,0,0,0,0,1,0,0,0,0
drake,8,0,6,3,5,16,19,5,5,7,5
grammy 's awards,0,0,0,0,0,0,0,0,0,0,0
lil wayne,1,1,0,0,1,1,1,0,0,1,1
jillian,0,0,0,0,0,0,0,1,0,0,0
the grammy,94,129,99,105,143,101,118,121,113,170,161
antes,0,1,0,0,0,1,0,0,1,0,0
ben,2,2,2,6,4,2,3,0,2,3,4
kelly rowland=,0,1,0,0,0,0,0,0,0,0,0
ai,71,74,63,101,74,63,79,74,67,95,79
grammy gods,0,0,0,0,0,0,0,0,1,0,0
steve,3,1,3,0,2,2,0,1,1,3,1
fredo santana,0,0,0,0,0,0,1,0,0,0,0
snickers,1,0,0,0,1,0,0,0,0,0,0
johnny depp,17,6,7,5,10,4,6,6,2,8,3
britney,0,1,0,1,0,1,0,0,0,1,1
ahhhh mama brooks,0,0,1,0,0,0,0,0,0,0,0
mumford & sons,0,1,1,0,0,0,0,0,0,0,0
jc chasez,1,0,0,0,0,0,0,0,0,0,0
rihanna,12,13,13,275,137,39,99,20,24,21,27
dieeee,0,0,0,0,0,0,0,0,0,1,0
r kelly,0,4,2,8,5,2,0,0,1,1,0
h-bc,0,0,0,0,0,0,0,0,0,1,0
damien,0,0,0,0,0,3,9,0,0,1,2
